Device_Name,IP_Address,Frequency,,,,,,
3099 Woods C9 .90,10.3.99.90,906,,,,,,
3099 Woods C2 .21,10.3.99.21,2457,,,,,,
3099 Woods C2 .20,10.3.99.20,2415,,,,,,
3094 Hwy W C9+ .99,10.3.94.99,923,,,,,,
3094 Hwy W C9 .95,10.3.94.95,None,,,,,,
3094 Hwy W C9 .94,10.3.94.94,None,,,,,,
3094 Hwy W C9 .90,10.3.94.90,906,,,,,,
3094 Hwy W PBEM5 .56,10.3.94.56,5200,,,,,,
3094 Hwy W C5 .50,10.3.94.50,5800,,,,,,
3066 Mansfield SW C9 .94,10.3.66.94,915,,,,,,
3066 Mansfield SW C9 .90,10.3.66.90,906,,,,,,
3066 Mansfield SW RM2 .20,10.3.66.20,2412,,,,,,
3062 Aquawells C9+ .95,10.3.62.95,907,,,,,,
3062 Aquawells C9 .90,10.3.62.90,915,,,,,,
3062 Aquawells RM5 .59,10.3.62.59,5245,,,,,,
3062 Aquawells C5 .50,10.3.62.50,5735,,,,,,
3062 Aquawells PBEM2 .29,10.3.62.29,2462,,,,,,
3006 Highlandville C9 .99,10.3.6.99,915,,,,,,
3006 Highlandville C9 .96,10.3.6.96,924,,,,,,
3006 Highlandville C9 .95,10.3.6.95,906,,,,,,
3006 Highlandville C9 .94,10.3.6.94,924,,,,,,
3006 Highlandville C9 .93,10.3.6.93,906,,,,,,
3006 Highlandville C9 .92,10.3.6.92,924,,,,,,
3006 Highlandville C9 .91,10.3.6.91,906,,,,,,
3006 Highlandville NSM5 .56,10.3.6.56,5775,,,,,,
3006 Highlandville RM5 .55,10.3.6.55,5155,,,,,,
3006 Highlandville RM5 .51,10.3.6.51,5520,,,,,,
3006 Highlandville RM365 .34,10.3.6.34,3661,,,,,,
3006 Highlandville C2 .25,10.3.6.25,2417,,,,,,
3006 Highlandville C2 .24,10.3.6.24,2457,,,,,,
3006 Highlandville C2 .23,10.3.6.23,2415,,,,,,
3006 Highlandville C2 .22,10.3.6.22,2457,,,,,,
3006 Highlandville C2 .20,10.3.6.20,2435,,,,,,
3004 Nixa C9 .94,10.3.4.94,924,,,,,,
3004 Nixa C9 .93,10.3.4.93,924,,,,,,
3004 Nixa C9 .90,10.3.4.90,906,,,,,,
3004 Nixa C5 .59,10.3.4.59,5670,,,,,,
3004 Nixa PBEM5 .55,10.3.4.55,5735,,,,,,
3004 Nixa PBEM5 .54,10.3.4.54,5750,,,,,,
3004 Nixa PBEM5 .53,10.3.4.53,5780,,,,,,
3004 Nixa C5 .52,10.3.4.52,5780,,,,,,
3004 Nixa RM5 .50,10.3.4.50,5830,,,,,,
3004 Nixa NSM2 .24,10.3.4.24,2422,,,,,,
3035 Macomb C9 .96,10.3.35.96,924,,,,,,
3035 Macomb C9 .95,10.3.35.95,915,,,,,,
3035 Macomb C9 .94,10.3.35.94,906,,,,,,
3035 Macomb C9 .93,10.3.35.93,924,,,,,,
3035 Macomb C9 .92,10.3.35.92,None,,,,,,
3035 Macomb C9 .91,10.3.35.91,906,,,,,,
3035 Macomb PBEM5 .54,10.3.35.54,5170,,,,,,
